0.000000,5.420535
0.693147,4.912655
1.098612,4.663439
1.386294,4.584967
1.609438,4.189655
1.791759,4.077537
1.945910,4.025352
2.079442,3.988984
2.197225,3.688879
2.302585,3.663562
2.397895,3.583519
2.484907,3.526361
2.564949,3.332205
2.639057,3.295837
2.708050,3.258097
2.772589,3.218876
2.833213,3.218876
2.890372,3.178054
2.944439,3.178054
2.995732,3.091042
3.044522,2.944439
3.091042,2.944439
3.135494,2.890372
3.178054,2.890372
3.218876,2.890372
3.258097,2.833213
3.295837,2.772589
3.332205,2.772589
3.367296,2.708050
3.401197,2.708050
3.433987,2.708050
3.465736,2.708050
3.496508,2.708050
3.526361,2.708050
3.555348,2.639057
3.583519,2.639057
3.610918,2.639057
3.637586,2.564949
3.663562,2.564949
3.688879,2.564949
3.713572,2.564949
3.737670,2.564949
3.761200,2.484907
3.784190,2.397895
3.806662,2.397895
3.828641,2.397895
3.850148,2.397895
3.871201,2.397895
3.891820,2.302585
3.912023,2.302585
3.931826,2.302585
3.951244,2.302585
3.970292,2.302585
3.988984,2.302585
4.007333,2.302585
4.025352,2.302585
4.043051,2.302585
4.060443,2.197225
4.077537,2.197225
4.094345,2.197225
4.110874,2.197225
4.127134,2.197225
4.143135,2.197225
4.158883,2.079442
4.174387,2.079442
4.189655,2.079442
4.204693,2.079442
4.219508,2.079442
4.234107,2.079442
4.248495,2.079442
4.262680,1.945910
4.276666,1.945910
4.290459,1.945910
4.304065,1.945910
4.317488,1.945910
4.330733,1.945910
4.343805,1.945910
4.356709,1.945910
4.369448,1.945910
4.382027,1.945910
4.394449,1.945910
4.406719,1.945910
4.418841,1.791759
4.430817,1.791759
4.442651,1.791759
4.454347,1.791759
4.465908,1.791759
4.477337,1.791759
4.488636,1.791759
4.499810,1.791759
4.510860,1.791759
4.521789,1.791759
4.532599,1.791759
4.543295,1.791759
4.553877,1.791759
4.564348,1.791759
4.574711,1.791759
4.584967,1.791759
4.595120,1.609438
4.605170,1.609438
4.615121,1.609438
4.624973,1.609438
4.634729,1.609438
4.644391,1.609438
4.653960,1.609438
4.663439,1.609438
4.672829,1.609438
4.682131,1.609438
4.691348,1.609438
4.700480,1.609438
4.709530,1.609438
4.718499,1.609438
4.727388,1.609438
4.736198,1.609438
4.744932,1.609438
4.753590,1.609438
4.762174,1.609438
4.770685,1.386294
4.779123,1.386294
4.787492,1.386294
4.795791,1.386294
4.804021,1.386294
4.812184,1.386294
4.820282,1.386294
4.828314,1.386294
4.836282,1.386294
4.844187,1.386294
4.852030,1.386294
4.859812,1.386294
4.867534,1.386294
4.875197,1.386294
4.882802,1.386294
4.890349,1.386294
4.897840,1.386294
4.905275,1.386294
4.912655,1.386294
4.919981,1.386294
4.927254,1.386294
4.934474,1.386294
4.941642,1.386294
4.948760,1.386294
4.955827,1.386294
4.962845,1.386294
4.969813,1.386294
4.976734,1.386294
4.983607,1.386294
4.990433,1.386294
4.997212,1.386294
5.003946,1.386294
5.010635,1.098612
5.017280,1.098612
5.023881,1.098612
5.030438,1.098612
5.036953,1.098612
5.043425,1.098612
5.049856,1.098612
5.056246,1.098612
5.062595,1.098612
5.068904,1.098612
5.075174,1.098612
5.081404,1.098612
5.087596,1.098612
5.093750,1.098612
5.099866,1.098612
5.105945,1.098612
5.111988,1.098612
5.117994,1.098612
5.123964,1.098612
5.129899,1.098612
5.135798,1.098612
5.141664,1.098612
5.147494,1.098612
5.153292,1.098612
5.159055,1.098612
5.164786,1.098612
5.170484,1.098612
5.176150,1.098612
5.181784,1.098612
5.187386,1.098612
5.192957,1.098612
5.198497,1.098612
5.204007,1.098612
5.209486,1.098612
5.214936,1.098612
