N,E
50,0.621887
50,0.684427
50,0.669304
50,0.703648
50,0.707307
50,0.687253
50,0.702608
50,0.683614
51,0.666268
50,0.646575
51,0.658487
51,0.643937
49,0.669622
50,0.693161
50,0.716776
50,0.715864
50,0.718134
50,0.696351
49,0.618680
51,0.603114
50,0.590242
50,0.574166
50,0.587416
50,0.584876
51,0.587002
51,0.589730
51,0.605055
50,0.562203
50,0.584303
50,0.577768
50,0.602103
50,0.612442
51,0.610469
50,0.576213
50,0.623045
50,0.629279
50,0.648209
50,0.643881
50,0.656497
51,0.663749
50,0.643316
51,0.633892
50,0.662662
50,0.691752
50,0.682150
50,0.685127
50,0.666672
50,0.649504
50,0.662032
50,0.683162
50,0.670743
51,0.673549
51,0.683072
49,0.692590
49,0.651779
50,0.648210
50,0.646294
50,0.659642
49,0.647685
50,0.661344
50,0.657265
50,0.684050
49,0.660784
51,0.658255
50,0.549008
49,0.531695
51,0.538168
50,0.484965
51,0.500626
50,0.508243
51,0.514005
51,0.479206
51,0.491236
50,0.489249
50,0.515129
50,0.535584
50,0.567918
50,0.587546
51,0.563990
51,0.564177
49,0.574878
49,0.578670
49,0.578513
49,0.523641
53,0.503959
51,0.499394
51,0.515255
49,0.463923
51,0.523453
49,0.501092
50,0.525974
50,0.499299
50,0.494081
50,0.529111
49,0.478901
50,0.524034
48,0.441618
50,0.448537
49,0.422298
49,0.425109
50,0.420982
50,0.414312
50,0.402365
50,0.416635
49,0.399893
50,0.415717
50,0.425443
50,0.407975
51,0.403298
50,0.399188
51,0.394259
49,0.414994
49,0.429705
49,0.440946
51,0.425152
49,0.389007
49,0.433390
49,0.436188
50,0.415283
50,0.422093
50,0.429661
50,0.416088
51,0.406512
51,0.407502
51,0.418798
51,0.414269
50,0.361755
50,0.338107
50,0.341393
50,0.346602
50,0.351801
50,0.360568
49,0.320446
51,0.367037
50,0.367274
51,0.368474
49,0.371954
52,0.380356
51,0.350998
48,0.320459
53,0.386140
48,0.341686
51,0.380679
50,0.368351
50,0.399822
50,0.424248
50,0.437992
50,0.443405
50,0.445619
50,0.447120
50,0.453915
51,0.448071
51,0.451092
49,0.449473
52,0.455851
51,0.425135
51,0.467067
50,0.471528
50,0.491397
50,0.508266
50,0.528371
52,0.543615
51,0.493262
51,0.570611
49,0.502919
52,0.553854
50,0.517645
50,0.509842
50,0.522671
50,0.518623
50,0.513719
