N,E
41,0.448048
41,0.469990
41,0.478920
41,0.487334
41,0.466205
41,0.466867
41,0.482837
41,0.498194
41,0.508702
41,0.476812
41,0.465577
41,0.467123
41,0.473532
41,0.448025
41,0.477727
41,0.499262
41,0.534209
41,0.530501
42,0.539509
42,0.532631
42,0.530927
42,0.529176
42,0.545307
42,0.534519
42,0.530274
42,0.534967
41,0.491909
41,0.487547
42,0.490059
42,0.485108
42,0.506136
42,0.528321
42,0.498570
42,0.489493
42,0.505223
42,0.516293
41,0.500099
41,0.501149
40,0.480211
41,0.504361
40,0.446391
40,0.439142
40,0.445370
40,0.468828
40,0.455010
40,0.471068
40,0.473416
40,0.487068
40,0.509086
40,0.519449
40,0.538873
39,0.545774
39,0.567724
39,0.587330
39,0.563376
39,0.555309
39,0.557409
39,0.557209
39,0.559438
39,0.562942
40,0.571324
40,0.583450
40,0.591013
41,0.618978
41,0.604519
41,0.623589
41,0.641508
42,0.635637
42,0.648996
42,0.664786
42,0.663519
42,0.687062
42,0.681447
42,0.713979
44,0.729826
44,0.733596
44,0.720066
44,0.706155
44,0.721343
44,0.750994
44,0.765832
45,0.766238
45,0.753738
46,0.769045
46,0.777154
46,0.807254
45,0.744523
45,0.790115
45,0.794886
45,0.806699
46,0.797031
45,0.770948
45,0.768575
44,0.750308
44,0.792379
44,0.801475
45,0.770899
46,0.781852
46,0.763386
46,0.762159
46,0.741764
46,0.721617
46,0.701906
46,0.623360
45,0.573190
45,0.554896
44,0.478160
44,0.463796
44,0.458297
44,0.446808
44,0.428830
44,0.439720
45,0.452485
45,0.456308
45,0.471404
45,0.485908
44,0.451852
45,0.468645
45,0.478894
45,0.507354
45,0.507262
46,0.513061
46,0.503877
45,0.469025
45,0.470839
45,0.465151
45,0.478578
45,0.485374
46,0.461136
46,0.479504
46,0.494069
46,0.477917
46,0.481670
46,0.492564
46,0.496187
46,0.502573
46,0.515982
46,0.510244
46,0.529993
46,0.535644
46,0.552427
46,0.551510
46,0.555850
47,0.575191
47,0.583065
48,0.601331
48,0.602888
49,0.587275
49,0.594126
48,0.545050
48,0.540069
47,0.490417
45,0.402310
45,0.454275
44,0.444448
44,0.469396
44,0.457470
44,0.450273
44,0.470505
44,0.485052
44,0.481584
45,0.479495
45,0.501304
45,0.502272
46,0.499012
46,0.519055
46,0.512691
46,0.532384
46,0.536748
46,0.537884
46,0.542382
46,0.536520
46,0.560103
47,0.563123
47,0.542959
45,0.517090
45,0.528474
45,0.553143
45,0.555059
45,0.569411
45,0.538245
45,0.550160
46,0.540892
46,0.542814
46,0.573540
46,0.584636
46,0.597538
46,0.588792
46,0.585616
46,0.580717
46,0.588889
47,0.574224
47,0.563759
47,0.570012
47,0.578124
47,0.596341
47,0.612979
47,0.603678
47,0.615297
47,0.623778
47,0.623182
47,0.626190
47,0.681929
48,0.667857
